Fecha_Festivo;Fecha_TXT
1/01/2019;2019-01-01
7/01/2019;2019-01-07
25/03/2019;2019-03-25
14/04/2019;2019-04-14
18/04/2019;2019-04-18
19/04/2019;2019-04-19
21/04/2019;2019-04-21
1/05/2019;2019-05-01
3/06/2019;2019-06-03
24/06/2019;2019-06-24
1/07/2019;2019-07-01
20/07/2019;2019-07-20
7/08/2019;2019-08-07
19/08/2019;2019-08-19
14/10/2019;2019-10-14
4/11/2019;2019-11-04
11/11/2019;2019-11-11
8/12/2019;2019-12-08
25/12/2019;2019-12-25
1/01/2018;2018-01-01
8/01/2018;2018-01-08
19/03/2018;2018-03-19
25/03/2018;2018-03-25
29/03/2018;2018-03-29
30/04/2018;2018-04-30
1/04/2018;2018-04-01
1/05/2018;2018-05-01
14/05/2018;2018-05-14
4/06/2018;2018-06-04
11/06/2018;2018-06-11
2/07/2018;2018-07-02
20/07/2018;2018-07-20
7/08/2018;2018-08-07
20/08/2018;2018-08-20
15/10/2018;2018-10-15
5/11/2018;2018-11-05
12/11/2018;2018-11-12
8/12/2018;2018-12-08
25/12/2018;2018-12-25
1/01/2017;2017-01-01
9/01/2017;2017-01-09
20/03/2017;2017-03-20
9/04/2017;2017-04-09
13/04/2017;2017-04-13
14/04/2017;2017-04-14
16/04/2017;2017-04-16
1/05/2017;2017-05-01
29/05/2017;2017-05-29
19/06/2017;2017-06-19
26/06/2017;2017-06-26
3/07/2017;2017-07-03
20/07/2017;2017-07-20
7/08/2017;2017-08-07
21/08/2017;2017-08-21
16/10/2017;2017-10-16
6/11/2017;2017-11-06
13/11/2017;2017-11-13
8/12/2017;2017-12-08
25/12/2017;2017-12-25
1/01/2016;2016-01-01
11/01/2016;2016-01-11
20/03/2016;2016-03-20
21/03/2016;2016-03-21
24/03/2016;2016-03-24
25/03/2016;2016-03-25
27/03/2016;2016-03-27
1/05/2016;2016-05-01
9/05/2016;2016-05-09
30/05/2016;2016-05-30
6/06/2016;2016-06-06
4/07/2016;2016-07-04
20/07/2016;2016-07-20
7/08/2016;2016-08-07
15/08/2016;2016-08-15
17/10/2016;2016-10-17
7/11/2016;2016-11-07
14/11/2016;2016-11-14
8/12/2016;2016-12-08
25/12/2016;2016-12-25
1/01/2015;2015-01-01
12/01/2015;2015-01-12
23/03/2015;2015-03-23
29/03/2015;2015-03-29
2/04/2015;2015-04-02
3/04/2015;2015-04-03
5/04/2015;2015-04-05
1/05/2015;2015-05-01
18/05/2015;2015-05-18
8/06/2015;2015-06-08
15/06/2015;2015-06-15
29/06/2015;2015-06-29
20/07/2015;2015-07-20
7/08/2015;2015-08-07
17/08/2015;2015-08-17
12/10/2015;2015-10-12
2/11/2015;2015-11-02
16/11/2015;2015-11-16
8/12/2015;2015-12-08
25/12/2015;2015-12-25
1/01/2014;2014-01-01
6/01/2014;2014-01-06
24/03/2014;2014-03-24
13/04/2014;2014-04-13
17/04/2014;2014-04-17
18/04/2014;2014-04-18
20/04/2014;2014-04-20
1/05/2014;2014-05-01
2/06/2014;2014-06-02
23/06/2014;2014-06-23
30/06/2014;2014-06-30
20/07/2014;2014-07-20
7/08/2014;2014-08-07
18/08/2014;2014-08-18
13/10/2014;2014-10-13
3/11/2014;2014-11-03
17/11/2014;2014-11-17
8/12/2014;2014-12-08
25/12/2014;2014-12-25
