"COMUNA_ORI"	"FREQ"
""	510
"Aranjuez"	13559
"AU"	17
"Belén"	15094
"Buenos Aires"	8557
"Castilla"	23156
"Corregimiento de Altavista"	491
"Corregimiento de San Antonio de Prado"	2222
"Corregimiento de San Cristóbal"	2264
"Corregimiento de Santa Elena"	812
"Doce de Octubre"	6419
"El Poblado"	18878
"Guayabal"	16591
"In"	149
"La América"	7526
"La Candelaria"	47794
"Laureles Estadio"	25890
"Manrique"	6945
"Popular"	3305
"Robledo"	15126
"San Javier"	4071
"Santa Cruz"	3072
"SN"	4
"Villa Hermosa"	5992
"0"	3
"Corregimiento de San Sebastián de Palmitas"	13
"Alejandro Echavarría"	1
"Alfonso López"	1
"Altavista"	1
"Andalucía"	3
"Antonio Nariño"	1
"Barrio Colón"	1
"Bolivariana"	2
"Boston"	2
"Cabecera San Antonio de Prado"	4
"Calasanz"	1
"Calle Nueva"	2
"Campo Amor"	1
"Campo Valdés No. 1"	1
"Campo Valdés No. 2"	3
"Caribe"	2
"Cerro Nutibara"	2
"Corazón de Jesús"	1
"Cristo Rey"	2
"El Chagualo"	1
"El Nogal-Los Almendros"	1
"El Raizal"	1
"Estación Villa"	1
"Fátima"	1
"Florida Nueva"	1
"Girardot"	1
"Guayaquil"	2
"Héctor Abad Gómez"	1
"Jesús Nazareno"	2
"La Alpujarra"	2
"La Colina"	1
"La Floresta"	1
"La Rosa"	1
"Las Esmeraldas"	2
"Las Granjas"	1
"Las Palmas"	1
"Las Playas"	1
"Laureles"	1
"Los Conquistadores"	1
"Los Mangos"	1
"Manila"	1
"Miranda"	1
"Moravia"	1
"Naranjal"	1
"Oleoducto"	2
"Parque Juan Pablo II"	1
"Patio Bonito"	1
"Perpetuo Socorro"	1
"Rosales"	2
"San Pedro"	1
"Santa Fé"	1
"Santa Inés"	1
"Santa María de los Ángeles"	1
"Simón Bolívar"	1
"Suramericana"	1
"Toscana"	1
"Universidad de Antioquia"	2
"Veinte de Julio"	1
"Villa Carlota"	1
"Villa Guadalupe"	1
